Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,02-Aug-2016,1008,1009.5,1020,1006.3,1013,1012.8,1014.69,1762408,1788291755.4,60093
RELIANCE,03-Aug-2016,1014.4,1012.8,1014.4,991.5,992.9,993.95,998,2713804,2708366173.9,84839
RELIANCE,04-Aug-2016,999,993.95,1000,983.4,995.2,993,990.33,2328716,2306189259.05,70610
RELIANCE,05-Aug-2016,998,993,1019,997.05,1018,1016.25,1008.21,2767914,2790650162.95,63040
RELIANCE,08-Aug-2016,1019.9,1016.25,1034,1018.65,1027.3,1029.25,1029.46,3098753,3190040711.85,85046
RELIANCE,09-Aug-2016,1027,1029.25,1034.5,1021,1029.9,1030.7,1027.79,3038046,3122459911.4,80430
RELIANCE,10-Aug-2016,1031.25,1030.7,1034.55,1002,1002.2,1003.65,1012.18,3079463,3116960499.05,75445
RELIANCE,11-Aug-2016,1001.95,1003.65,1022.85,999.6,1014,1014.1,1013.46,3238899,3282503482.6,92154
RELIANCE,12-Aug-2016,1017,1014.1,1042.9,1017,1032.55,1035.8,1032.8,3740861,3863571902.25,104993
RELIANCE,16-Aug-2016,1036.25,1035.8,1044.8,1015.5,1023.65,1024.9,1028.02,3055603,3141211271.35,87377
RELIANCE,17-Aug-2016,1024.1,1024.9,1028.8,1007.2,1014,1013.3,1015.54,3539970,3594983478.75,88744
RELIANCE,18-Aug-2016,1016,1013.3,1023.65,1016,1018,1018.05,1019,1771449,1805112794.65,76822
RELIANCE,19-Aug-2016,1018,1018.05,1022,1007.1,1013.3,1014.9,1015.51,1869308,1898300778.7,59860
RELIANCE,22-Aug-2016,1012,1014.9,1019.7,1007.2,1010.05,1011.85,1012.82,1527904,1547496175.95,72620
RELIANCE,23-Aug-2016,1012,1011.85,1015,1005,1011.2,1010.45,1010.12,1673328,1690268898.65,53304
RELIANCE,24-Aug-2016,1011.7,1010.45,1021.95,1011,1021.25,1020.5,1017.13,1993153,2027291124.05,67902
RELIANCE,25-Aug-2016,1021.2,1020.5,1029,1009,1013.95,1012.7,1017.92,3419775,3481068524.7,82485
RELIANCE,26-Aug-2016,1017.9,1012.7,1030.8,1014.6,1026.6,1027.9,1024.82,2203465,2258151954.7,79842
RELIANCE,29-Aug-2016,1027.25,1027.9,1059.75,1026.1,1059.3,1057.45,1046.1,3701495,3872133054.6,90569
RELIANCE,30-Aug-2016,1062,1057.45,1068.5,1053,1064.75,1066.4,1062.92,4153522,4414855721.2,118180
RELIANCE,31-Aug-2016,1064.9,1066.4,1074,1047,1047.9,1060,1063.92,5324960,5665324906.65,210357
RELIANCE,01-Sep-2016,1053,1060,1072.75,1025.7,1028.05,1029.2,1050.52,9742454,10234626988.9,193607
RELIANCE,02-Sep-2016,1031.1,1029.2,1032.55,1002.3,1013,1013.35,1013.84,6428814,6517819697.65,133004
RELIANCE,06-Sep-2016,1019.9,1013.35,1025,1015,1021.7,1019.9,1019.3,2631091,2681861446.3,73178
RELIANCE,07-Sep-2016,1022,1019.9,1027.05,1013.05,1017,1017.65,1019.15,2954995,3011590628.15,87614
RELIANCE,08-Sep-2016,1023.05,1017.65,1035.95,1020.2,1034,1033.4,1030.87,2790196,2876333145.3,90566
RELIANCE,09-Sep-2016,1035,1033.4,1049.9,1030,1041.5,1044.55,1042.48,3490441,3638707846.1,69385
RELIANCE,12-Sep-2016,1030.4,1044.55,1056,1029.15,1046.95,1046.5,1046.99,7699800,8061595468.55,101157
RELIANCE,14-Sep-2016,1048,1046.5,1059,1040.9,1043,1044.75,1049.2,4252754,4461991599.45,95815
RELIANCE,15-Sep-2016,1047,1044.75,1070.2,1047,1064.8,1065,1055.37,7170885,7567970041.2,64639
